"Timestamp","Which persona best describe you? ","What type of contents does your group focus on?","What are your primary goals for managing a group? (Select up to 2)","Would you be interested in monetizing your groups by allowing ads or promotions?","What are your biggest challenges when it comes to monetizing your group?","What kind of ads would you allow in your group?","How do you currently fund your group?","What kind of feature would you like from a group management/ad platform?","What are the main goals of your advertising efforts? (Select up to 2)","Have you used social media or community-based platforms for advertising?","If yes, which ones? (Select all that apply)","What challenges have you faced with other advertising platforms? (Select all that apply)","What metrics do you prioritize when assessing ad performance? ","What would make a group/platform appealing for promotion? ","What feature would make an ad placement platform more appealing to you as a business owner/advertiser?","How much do you typically spend on advertisements per month (in Naira)?","What is your preferred pricing model for ads?","What age group do you fall into?","What topics or interests are you most likely to join a group for? (Select all that apply)","How often do you engage with community-based groups?","What motivates you to actively participate in groups? (Select all that apply)","What frustrations have you experienced in other community-based platforms? (Select all that apply)","Would you be comfortable seeing ads in a group you are a part of?","What type of ads would you find acceptable in a community-group?","How likely are you to engage with ads that are relevant to your interests within a group?","Do you have any additional suggestions or features you would like to see in this platform?",""
"2024/10/29 8:06:52 AM GMT+1","Group Member","","","Maybe","Relevant information ","Relevant products/services","","","","","","","","Group size","","","","","","","","","Maybe","ads related to group's focus and niche","","No",""
"2024/10/29 12:55:40 PM GMT+1","Group Owner","Business and Enterprenuership","","Yes","Maintaining control over ad content","Affiliate marketing","Out of Pocket","","","","","","","Group size","Secure Paymemt","","","","","","","","Yes, if they are relevant","ads related to group's focus and niche","","Demography","18-24"
"2024/10/29 1:11:39 PM GMT+1","Group Member","","","Maybe","Privacy of group memebers","Relevant products/services","Members contributions","","","","","","","Engagement level","","","","","","","","","No","ads related to group's focus and niche","","No","35-44"
"2024/10/29 1:25:17 PM GMT+1","Group Member","Business and Enterprenuership","","Yes","Ease of managing ads and transactions","Relevant products/services","Out of Pocket","","","","","","","Engagement level","Audience Analytics","","","","","","","","Yes, if they are relevant","Video ads","","Incisive ads that  is more relevant to those looking to start up a SME ","45 and above"
"2024/10/29 3:54:24 PM GMT+1","Group Owner","Business and Enterprenuership","","No","Privacy of group memebers","Relevant products/services","Out of Pocket","","","","","","","Engagement level","Secure Paymemt","","","","","","","","Yes, if they are relevant","Text only ads","","Not really ","18-24"
"2024/10/29 3:59:20 PM GMT+1","Group Owner","Business and Enterprenuership","","No","Maintaining control over ad content","Relevant products/services","Out of Pocket","","","","","","","Engagement level","Simple management tools","","","","","","","","No","ads related to group's focus and niche","","No","18-24;25-34;35-44;45 and above"
"2024/10/29 5:17:26 PM GMT+1","Group Member","","","","Privacy of group memebers","","Out of Pocket","","","","","","","Engagement level","","","","","","","","","Maybe","Video ads","","N/A",""
"2024/10/29 6:45:43 PM GMT+1","Group Owner","Education and Skills","","Yes","Ease of managing ads and transactions","Relevant products/services","Out of Pocket","","","","","","","","Secure Paymemt","","","","","","","","","ads related to group's focus and niche","","nope","18-24;25-34"
"2024/10/29 7:30:16 PM GMT+1","Group Owner","House bills coordination ","","Yes","Maintaining control over ad content","Relevant products/services","None","","","","","","","Group size","Moderation control","","","","","","","","Yes, if they are relevant","Image ads","","None","25-34;35-44"
"2024/10/29 7:33:56 PM GMT+1","Group Member","Old school boys","","No","Ease of managing ads and transactions","Relevant products/services","Out of Pocket","","","","","","","Group size","Audience Analytics","","","","","","","","Yes, if they are relevant","Image ads","","No","25-34"
